Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2021,FK,Sphaeralcea_coccinea,SPCO,3,MG,98,2,7,5.5,0,1.59,0.051,0.043,0.0917,0.0135,
2021,FK,Sphaeralcea_coccinea,SPCO,1,HG,80,1,8,4.5,0,1.583,0.052,0.0405,0.1399,0.0164,
2020,FK,Koeleria_macrantha,KOMA,3,3,98,0,3,28.3,1,1.573,,0.0397,0.0347,0.0186,
2022,TB,Koeleria_macrantha,KOMA,2,MG,95,1,2,8.1,0,1.56,0.034,0.0385,0.0213,0.0149,
2022,FK,Hesperostipa_comata,HECO,1,HG,92,0,2,31.3,1,1.55,0.031,0.0342,0.5292,0.0106,
2022,FK,Hesperostipa_comata,HECO,2,HG,90,2,1,19,1,1.531,0.036,0.0305,0.06,0.0121,
2022,TB,Pascopyrum_smithii,PASM,3,HG,75,1,2,7,3,1.51,0.035,0.0484,0.0949,0.0204,
2022,FK,Koeleria_macrantha,KOMA,3,HG,97,1,2,9.2,1,1.48,0.03,0.0305,0.0364,0.0138,
2019,TB,Pascopyrum_smithii,PASM,1,2,60,1,3,17.5,1,1.474,0.027,0.067,0.0594,0.013,
2022,FK,Sphaeralcea_coccinea,SPCO,3,HG,97,3,6,9.8,1,1.47,0.034,0.0395,0.0936,0.0165,
2022,FK,Hesperostipa_comata,HECO,3,LG,95,0,2,19.2,1,1.46,0.028,0.0273,0.2245,0.0108,
2020,FK,Koeleria_macrantha,KOMA,1,1,85,0,3,30,0,1.445,,0.0348,0.0203,0.0135,
2022,TB,Koeleria_macrantha,KOMA,2,LG,95,1,2,11.6,0,1.41,0.036,0.0411,0.0173,0.0147,
